id,year,name,abbreviated_name,type,international_or_national,website,hq_location,year_founded,year_closed,countries_of_operation_count,sector,religious_or_secular,religion,red_cross_code_of_conduct_signatory,chs_member,interaction_member,icva_member,staff,staff_imputed,natl,natl_imputed,intl,intl_imputed,percent_intl,ope_approx_usd,ope_imputed,ope/staff,ope_inflation_adjusted,ope_original_currency,humexp_approx_usd,humexp_imputed,humexp_inflation_adjusted
310,2021,Buddhist Tzu Chi Foundation,NA,INGO,International,http://www.tzuchi.org/,United States,1966,NA,47,NA,Religious,Buddhist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34178000,A,30059.81,36860356,NA,17262000,A,18616755
5232,2020,Building Foundation for Development,BFD,NNGO,NA,https://bfdyemen.org/en,Yemen,2015,NA,1,NA,NA,NA,NA,NA,NA,NA,179,A,NA,NA,NA,NA,NA,20340000,A,113631.28,23003431,NA,NA,NA,NA
5247,2021,BuildOn,NA,INGO,NA,https://www.buildon.org,NA,2012,NA,8,Education,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11564977,A,10171.48,12472619,NA,NA,NA,NA
315,2021,Burnet Institute,NA,INGO,International,http://www.burnet.edu.au/,Australia,NA,NA,1,Health,Secular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17396000,A,15299.91,18761272,NA,NA,NA,NA
318,2013,C.I.S. Development Foundation,CISDF,INGO,International,http://www.cisdf.org,United States,1994,2015,1,NA,Secular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43696162,A,45516.84,54902264,NA,43511571,A,54670333
5215,2021,Canadian Food Grains Bank,NA,INGO,NA,https://foodgrainsbank.ca,Canada,1983,NA,32,Food security/agriculture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41465405,A,36469.13,44719691,NA,NA,NA,NA
359,2020,Catholic Agency for Overseas Development,CAFOD,INGO,International,http://www.cafod.org.uk,United Kingdom,1962,NA,41,NA,Religious,Christian,NA,NA,NA,NA,252,A,NA,NA,NA,NA,NA,43100000,A,171031.75,48743750,NA,NA,NA,NA
364,2020,Catholic Near East Welfare Association,CNEWA,INGO,International,http://www.cnewa.org/,United States,1926,NA,1,NA,Religious,Christian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18884647,A,22780.03,21357506,NA,NA,NA,NA
365,2021,Catholic Organisation for Relief and Development Aid,CORDAID,INGO,International,http://www.cordaid.org/,Netherlands,1914,NA,35,NA,Religious,Christian,NA,NA,NA,NA,1380,A,NA,NA,NA,NA,NA,221677000,A,160635.51,239074642,NA,164040980,A,176915235
366,2021,Catholic Relief Services,CRS,INGO,International,http://www.catholicrelief.org,United States,1965,NA,116,NA,Religious,Christian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1073106000,A,144234.68,1157325447,NA,843202000,A,909378133
454,2012,"Children's Hunger Relief Fund, Inc.",CHRF,INGO,International,www.chrf.org,United States,1975,NA,26,Children/youth,Religious,Christian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57874364,A,23924.91,73781660,NA,56054866,A,71462056
457,2021,Christian Aid,NA,INGO,International,http://www.christianaid.org.uk,United Kingdom,1945,NA,27,NA,Religious,Christian,NA,NA,NA,NA,485,A,NA,NA,NA,NA,NA,107945205,A,222567.43,116416955,GBP 78800000,44520548,A,48014607
368,2021,Christian Blind Mission International,CBM,INGO,International,http://www.cbm.org/,Germany,1908,NA,75,Disabilities,Religious,Christian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14236000,A,5012.68,15353269,NA,NA,NA,NA
4870,2021,Christian Relief Services,NA,INGO,International,www.christianrelief.org,United States,1985,NA,10,NA,Religious,Christian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23821300,A,20951.01,25690842,NA,NA,NA,NA
469,2021,Church World Service,CWS,INGO,International,http://www.cwsglobal.org/,United States,1946,NA,34,NA,Religious,Christian,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,57873079,A,37579.92,62415071,NA,NA,NA,NA
479,2020,"CitiHope International, Inc.",NA,INGO,International,www.citihope.org,United States,1985,NA,12,NA,Religious,Christian,NA,NA,NA,NA,8,A,NA,NA,NA,NA,NA,34772209,A,4346526.12,39325473,NA,NA,NA,NA
482,2020,CIVICUS: World Alliance for Citizen Participation,NA,INGO,International,http://civicus.org/,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10967404,A,13229.68,12403536,NA,NA,NA,NA
922,2020,Civil Voluntary Group/Gruppo di Volontariato Civile- We World,GVC,INGO,International,www.gvc-italia.org,Italy,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,1040,A,633,A,407,A,39,32755348,A,31495.53,37044513,Euro 29479813,NA,NA,NA
504,2020,Comitato Internazionale Per Lo Sviluppo Dei Popoli,CISP,INGO,International,www.cisp-ngo.org,Italy,1983,NA,30,NA,Secular,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26358226,A,31795.21,29809717,Euro 23722403,NA,NA,NA
505,2021,Comité catholique contre la faim et pour le développement,CCFD,INGO,International,http://ccfd-terresolidaire.org/,France,1984,NA,70,NA,Religious,Christian,NA,NA,NA,NA,168,A,NA,NA,NA,NA,NA,41097561,A,244628.34,44322978,Euro 33700000,NA,NA,NA
5217,2021,Community Development Centre,CODEC,NNGO,NA,https://www.codecbd.org,Bangladesh,1985,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17153504,A,15086.64,18499744,BDT 1427000000,NA,NA,NA
541,2022,Concern Worldwide,NA,INGO,International,http://www.concern.net,Ireland,1968,NA,27,NA,Secular,NA,1,NA,NA,NA,3737,A,3540,A,197,A,5,252613636,A,67597.98,252613636,Euro 222300000,158388750,A,158388750
336,2022,Cooperative for Assistance and Relief Everywhere,CARE,INGO,International,http://www.care.org,Switzerland,1945,NA,78,NA,Secular,NA,1,NA,NA,NA,11437,A,9794,A,1643,A,14,NA,NA,NA,NA,NA,NA,NA,NA
555,2021,Cooperazione e Sviluppo,CEVSI,INGO,International,www.cesvi.org,Italy,1985,NA,58,NA,Secular,NA,NA,NA,NA,NA,488,A,454,A,34,A,7,43,A,0.09,46,Euro 35395113,24,A,26
556,2021,Cooperazione Internazionale,COOPI,INGO,International,http://www.coopi.org/en/,Italy,1965,NA,33,NA,Secular,NA,NA,NA,NA,NA,1719,A,1563,A,156,A,9,NA,NA,NA,NA,NA,NA,NA,NA
560,2021,Cooperazione per lo Sviluppo dei Paesi Emergenti,COSPE,INGO,International,www.cospe.org,Italy,1983,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16028488,A,14097.18,17286435,Euro 13143360,NA,NA,NA
564,2021,Coordination of Humanitarian Assistance,CHA,NNGO,National,http://www.cha-net.org,Afghanistan,1987,NA,1,NA,Secular,NA,NA,NA,NA,NA,2900,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7151,2022,Core Response,NA,INGO,NA,https://www.coreresponse.org,United States,2017,NA,7,NA,Secular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
580,2021,Cross International,CI,INGO,International,http://www.crossinternational.org,United States,2001,NA,18,NA,Religious,Christian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79631668,A,51708.88,85881316,NA,NA,NA,NA
598,2022,DanChurchAid (FOLKEKIRKENS NODHJAELP),DCA,INGO,International,http://www.danchurchaid.org,Denmark,1922,NA,37,NA,Religious,Christian,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,A,NA,118,DKK 770600000,NA,NA,NA
600,2020,Danish Committee for Aid to Afghan Refugees,DACAAR,INGO,International,www.dacaar.org,Denmark,1984,NA,1,NA,Secular,NA,NA,NA,NA,NA,1000,A,994,A,6,A,1,NA,NA,NA,NA,NA,NA,NA,NA
604,2022,Danish Refugee Council,DRC,INGO,International,http://www.drc.dk/,Denmark,1956,NA,1,NA,Secular,NA,1,1,NA,1,7496,A,7035,A,461,A,6,460218224,A,61395.17,460218224,DKK 3005225000,NA,NA,NA
622,2020,Deutsche Gesellschaft für Internationale Zusammenarbeit,GIZ,INGO,International,https://www.giz.de/en/html/index.html,Germany,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,22199,A,15120,A,2538,A,11,NA,NA,NA,NA,NA,NA,NA,NA
642,2021,Diakonie Emergency Aid/Diakonie Katastrophenhilfe,DKH,INGO,International,http://www.diakonie-katastrophenhilfe.de,Germany,1954,NA,38,NA,Religious,Christian,NA,NA,NA,NA,121,A,103,A,18,A,15,64573046,A,533661.54,69640864,Euro 52949898,NA,NA,NA
1193,2020,Die Johanniter,Johanniter,INGO,International,http://www.johanniter.de,Germany,NA,NA,16,NA,Religious,Christian,NA,NA,NA,NA,274,A,NA,NA,NA,NA,NA,22723928,A,82934.04,25699524,Euro 20451535,NA,NA,NA
497,2021,Doctors with Africa/ Collegio Universitario Aspiranti Emedici Missionari - Medici con L'Africa Onetherlandsus (CUAMM),CUAMM,INGO,International,http://www.mediciconlafrica.org/en/,Italy,1950,NA,8,Health,NA,NA,NA,NA,NA,NA,4518,A,4248,A,270,A,6,47344948,A,10479.18,51060672,Euro 38822857,NA,NA,NA
661,2021,Dorcas Aid International,DAI,INGO,International,http://www.dorcas.net,Netherlands,NA,NA,14,NA,Religious,Christian,NA,NA,NA,NA,282,A,NA,NA,NA,NA,NA,23846679,A,84562.69,25718213,NA,10920392,A,11777446
665,2020,Dutch Relief Alliance,DRA,INGO,NA,https://dutchrelief.org/track-record/,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87777778,A,58285.38,99271881,Euro 79000000,NA,NA,NA
673,2020,Dwip Unnayan Songstha,DUS,NNGO,National,http://www.dusbangladesh.org,Bangladesh,1982,NA,1,NA,Secular,NA,NA,NA,NA,NA,500,A,500,A,NA,NA,NA,32991634,A,65983.27,37311739,BDT 2800000000,NA,NA,NA
6108,2020,Eco Social Development Organization,ESDO,NNGO,NA,http://web.esdo.net.bd/?ref=home,Bangladesh,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3621,A,3621,A,NA,NA,NA,18031774,A,4979.78,20392953,BDT 1530356685,NA,NA,NA
696,2021,Emergency - Life Support for Civilian War Victims,NA,INGO,International,https://www.emergency.it/chi-siamo/,Italy,1994,NA,7,Health,NA,NA,NA,NA,NA,NA,3417,A,3274,A,143,A,4,90367191,A,26446.35,97459384,Euro 74101097,NA,NA,NA
725,2021,Episcopal Relief and Development,ERD,INGO,International,https://www.episcopalrelief.org,United States,1970,NA,32,NA,Religious,Christian,NA,NA,NA,NA,60,A,NA,NA,NA,NA,NA,19761678,A,329361.3,21312613,NA,NA,NA,NA
773,2020,FIDA International,NA,INGO,International,NA,Finland,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,340,A,300,A,40,A,12,NA,NA,NA,NA,NA,NA,NA,NA
776,2021,FinnChurchAid,FCA,INGO,International,http://www.kirkonulkomaanapu.fi/en/us/,Finland,NA,NA,10,NA,Religious,Christian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60121951,A,52877.71,64840439,Euro 49300000,NA,NA,NA
1194,2021,For Afrika (Formerly Joint Aid Management International),JAM,INGO,International,https://www.forafrika.org/,South Africa,1984,NA,6,NA,Religious,Christian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46280000,A,40703.61,49912144,NA,NA,NA,NA
828,2021,Fred Hollows Foundation,FHF,INGO,NA,https://www.hollows.org/us/home,Australia,1992,NA,1,Health,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48060000,A,42269.13,51831842,AUS 62478000,NA,NA,NA
829,2014,Freedom from Hunger,FFH,INGO,International,https://www.freedomfromhunger.org,United States,1946,2016,24,Food security/agriculture,Secular,NA,NA,NA,NA,NA,47,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6114,2020,Friendship,NA,NNGO,NA,https://friendship.ngo,Bangladesh,2002,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13888281,A,16753.05,15706889,BDT 1178698398,NA,NA,NA
1120,2021,Frontline Aids (formerly International HIV/AIDS Alliance),NA,INGO,International,http://www.aidsalliance.org,United Kingdom,1993,NA,40,Health,Secular,NA,NA,NA,NA,NA,89,A,NA,NA,NA,NA,NA,20399000,A,229202.25,21999953,NA,NA,NA,NA
6562,2021,Fundación Educación y Cooperación,EDUCO,INGO,NA,https://www.educo.org,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40175839,A,35334.95,43328917,Euro 32944188,NA,NA,NA
850,2021,Gana Unnayan Kendra,GUK,NNGO,National,www.gukbd.net,Bangladesh,1985,NA,1,NA,NA,NA,NA,NA,NA,NA,2262,A,2262,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
859,2021,Geneva Call,GC,NNGO,NA,https://www.genevacall.org,Switzerland,2000,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12534041,A,11023.78,13517737,CHF 11029956,NA,NA,NA
863,2022,German Agro Action/Deutsche Welthungerhilfe,GAA/DWHH,INGO,International,http://www.welthungerhilfe.de/,Germany,1962,NA,37,Food security/agriculture,Secular,NA,NA,NA,NA,NA,496,A,269,A,227,A,46,326590909,A,658449.41,326590909,Euro 287400000,NA,NA,NA
886,2020,Global Operations & Development/Giving Children Hope,GCH,INGO,International,www.gchope.org,United States,1993,NA,76,Children/youth,Religious,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32277188,A,38935.09,36503740,NA,NA,NA,NA
896,2022,GOAL Global,NA,INGO,International,http://www.goal.ie,Ireland,1977,NA,14,NA,Secular,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,A,NA,222,A,NA,222,Euro 195613000,NA,NA,NA
935,2021,Habitat for Humanity International,HFHI,INGO,International,http://www.habitat.org,United States,1976,NA,67,Shelter,Religious,Christian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70489000,A,45772.08,76021114,NA,NA,NA,NA
947,2021,Handicap International/ Humanity & Inclusion,HI,INGO,International,http://www.handicap-international.org,France,1982,NA,60,NA,Secular,NA,NA,NA,NA,NA,4286,A,3996,A,290,A,7,224,A,0.05,242,Euro 184812000,NA,NA,NA
961,2020,Health Alliance International,HAI,INGO,International,www.healthallianceinternational.org,United States,1987,NA,4,Health,Secular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10548200,A,12724,11929439,NA,NA,NA,NA
964,2021,Health Poverty Action,HPA,INGO,International,www.healthpovertyaction.org,United Kingdom,1984,NA,13,Health,NA,NA,NA,NA,NA,NA,351,A,NA,NA,NA,NA,NA,28005170,A,79786.81,30203070,GBP 20443774,NA,NA,NA
968,2022,Heartland Alliance for Human Needs and Human Rights,NA,INGO,International,http://www.heartlandalliance.org,United States,1888,NA,18,NA,Secular,NA,NA,NA,NA,NA,1500,A,1300,A,200,A,13,197202488,A,131468.33,197202488,NA,138436146576,A,138436146576
969,2021,Hebrew Immigrant Aid Society,HIAS,INGO,International,http://www.hias.org/,United States,1881,NA,17,Refugees,Religious,Jewish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69858142,A,45362.43,75340745,NA,NA,NA,NA
973,2021,HELP - Hlfe zur Selbsthilfe e.V.,NA,INGO,International,NA,Germany,1981,NA,25,NA,NA,www.help-ev.de/en/,1,NA,NA,NA,693,A,NA,NA,NA,NA,NA,42260013,A,60981.26,45576661,Euro 34653211,23243007,A,25067163
975,2021,HelpAge International,NA,INGO,International,www.helpage.org/,United Kingdom,1983,NA,28,NA,NA,NA,1,NA,NA,NA,327,A,278,A,49,A,15,28356164,A,86716.1,30581611,GBP 20700000,NA,NA,NA
977,2020,Helping Hand for Relief and Development,HHRD,INGO,International,http://www.hhrd.org,United States,2005,NA,43,NA,Religious,Islamic,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,59263955,A,39351.9,67024302,NA,NA,NA,NA
978,2022,Helvetas International,HI,INGO,International,NA,Switzerland,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,1400,A,NA,NA,NA,NA,NA,141,A,0.1,141,CHF 128472000,NA,NA,NA
1892,2021,Hivos,NA,INGO,National,https://hivos.org\,Netherlands,1968,NA,38,NA,NA,NA,NA,NA,NA,NA,295,A,NA,NA,NA,NA,NA,65351220,A,221529.56,70480111,Euro 53588000,NA,NA,NA
6878,2021,Hope for Haiti,NA,INGO,NA,https://hopeforhaiti.com,NA,1989,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28675916,A,25220.68,30926458,NA,NA,NA,NA
5024,2012,Hope Haven International,HHI,INGO,International,http://hopehaveninternational.org,United States,1994,NA,19,Disabilities,Religious,Christian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27038629,A,23718.1,34470442,NA,24767295,A,31574811
1002,2021,HOPE Worldwide,NA,INGO,International,www.hopeww.org/,United States,1991,NA,73,NA,Religious,Christian,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12375949,A,10884.74,13347238,NA,NA,NA,NA
4836,2021,IHSAN Relief and Development,IHSAN,INGO,NA,https://www.ihsanrd.org,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1548,A,NA,NA,NA,NA,NA,57762404,A,37314.21,62295710,NA,NA,NA,NA
1090,2016,Interchurch Organisation for Development Co-operation (merged into Cordaid),ICCO,INGO,International,NA,Netherlands,NA,2021,1,NA,Religious,NA,NA,NA,NA,NA,260,A,250,A,10,A,4,42654444,A,164055.55,52020649,Euro 38389000,NA,NA,NA
1101,2021,International Catholic Migration Commission,ICMC,INGO,International,http://www.icmc.net/,Switzerland,NA,NA,8,Refugees,Religious,Christian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22327000,A,19636.76,24079266,NA,NA,NA,NA
6122,2020,"International Centre for Diarrhoeal Disease Research, Bangladesh","icdrr,b",NNGO,NA,www.icddrb.org,Bangladesh,NA,NA,1,Health,NA,NA,NA,NA,NA,NA,4000,A,NA,NA,NA,NA,NA,43594800,A,10898.7,49303342,NA,NA,NA,NA
1107,2021,International City/County Management Association,ICMA,INGO,International,NA,United States,1989,NA,1,NA,Secular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16104912,A,14164.39,17368857,NA,NA,NA,NA
6577,2021,International Development Law Organisation,IDLO,INGO,NA,https://www.idlo.int,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44024390,A,38719.78,47479510,Euro 36100000,NA,NA,NA
1128,2022,International Medical Corps,IMC,INGO,International,https://internationalmedicalcorps.org,United States,1984,NA,30,Health,Secular,NA,NA,NA,NA,NA,8000,A,7680,A,320,A,4,149197927,A,18649.74,149197927,NA,NA,NA,NA
1136,2021,International Relief Teams,IRT,INGO,International,https://irteams.org,United States,1988,NA,14,Health,Secular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50176342,A,32582.04,54114279,NA,NA,NA,NA
1137,2022,International Rescue Committee,IRC,INGO,International,http://www.rescue.org,United States,1933,NA,44,Refugees,Secular,NA,NA,NA,NA,NA,19984,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1142,2012,International Services of Hope/Impact With God Crusades,ISOH/IMPACT,INGO,International,http://isohimpact.org,United States,1991,NA,16,NA,Religious,Christian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5935967,A,5206.99,7567522,NA,5767214,A,7352385
1152,2022,INTERSOS Organizzazione Umanitaria,INTERSOS,INGO,International,http://intersos.org/en,Italy,1992,NA,23,NA,Secular,NA,NA,NA,NA,NA,2150,A,2000,A,150,A,7,NA,NA,NA,NA,NA,NA,NA,NA
